#CRS: PROJCRS["NAD83 / Colorado Central (ftUS)",BASEGEOGCRS["NAD83",DATUM["North American Datum 1983",ELLIPSOID["GRS 1980",6378137,298.257222101,LENGTHUNIT["metre",1]]],PRIMEM["Greenwich",0,ANGLEUNIT["degree",0.0174532925199433]],ID["EPSG",4269]],CONVERSION["SPCS83 Colorado Central zone (US Survey feet)",METHOD["Lambert Conic Conformal (2SP)",ID["EPSG",9802]],PARAMETER["Latitude of false origin",37.8333333333333,ANGLEUNIT["degree",0.0174532925199433],ID["EPSG",8821]],PARAMETER["Longitude of false origin",-105.5,ANGLEUNIT["degree",0.0174532925199433],ID["EPSG",8822]],PARAMETER["Latitude of 1st standard parallel",39.75,ANGLEUNIT["degree",0.0174532925199433],ID["EPSG",8823]],PARAMETER["Latitude of 2nd standard parallel",38.45,ANGLEUNIT["degree",0.0174532925199433],ID["EPSG",8824]],PARAMETER["Easting at false origin",3000000,LENGTHUNIT["US survey foot",0.304800609601219],ID["EPSG",8826]],PARAMETER["Northing at false origin",1000000,LENGTHUNIT["US survey foot",0.304800609601219],ID["EPSG",8827]]],CS[Cartesian,2],AXIS["easting (X)",east,ORDER[1],LENGTHUNIT["US survey foot",0.304800609601219]],AXIS["northing (Y)",north,ORDER[2],LENGTHUNIT["US survey foot",0.304800609601219]],USAGE[SCOPE["Engineering survey, topographic mapping."],AREA["United States (USA) - Colorado - counties Arapahoe; Chaffee; Cheyenne; Clear Creek; Delta; Denver; Douglas; Eagle; El Paso; Elbert; Fremont; Garfield; Gunnison; Jefferson; Kit Carson; Lake; Lincoln; Mesa; Park; Pitkin; Summit; Teller."],BBOX[38.14,-109.06,40.09,-102.04]],ID["EPSG",2232]]
mapX,mapY,sourceX,sourceY,enable,dX,dY,residual
3148182.97641032002866268,1682993.0785821236204356,3709.73693039062845855,6023.98911686037627078,1,3.66335323009525382,2.4139469566543994,4.38717412442113641
3149673.90340551035478711,1693288.40353231481276453,3900.80857348022118458,7496.9383591282139605,1,2.22338751003098878,1.01709086540495264,2.44497972348483827
3157208.43032906576991081,1696312.98891782248392701,4975.30460684318040876,7939.87044757370404113,1,-2.61095622000448202,-5.0489959193409959,5.68414040786310348
3141361.73077927669510245,1673070.38739666133187711,2765.41644613422340626,4591.4979828900695793,1,-4.09090644056504971,2.93999786872882396,5.03776765776138546
3177488.59356392780318856,1658498.81147370906546712,7955.99471385878223373,2588.13041195596815669,1,0.24841579522308166,0.83819977530492906,0.87423639288098132
3168020.28150676982477307,1681072.74158736318349838,6553.49149490903892001,5793.05259015391948196,1,-1.37207491339449916,1.52069259775089449,2.04819323913074314
3145268.71225697919726372,1652581.65908899041824043,3365.77414214136797455,1666.26544734870776665,1,0.33389160883371005,-3.56011062270590628,3.57573366630583944
3156442.99575277930125594,1673583.35803981218487024,4913.36760871918431803,4695.43899202821376093,1,1.60488942978008708,-0.12082152179209515,1.6094309310896231
